Chocolatey v0.10.3
7zip 16.02.0.20160811
7zip.install 16.02.0.20160811
autohotkey.portable 1.1.24.02
autoit.commandline 3.3.14.2
chocolatey 0.10.3
chocolatey-core.extension 0.1.3
DotNet4.5.1 4.5.1.20140606
dropbox 16.4.29
Firefox 46.0.1
git 2.10.1
git.install 2.10.1
GoogleChrome 54.0.2840.87
handle 4.10
jre8 8.0.111
keepass 2.34
keepass.install 2.34
ReSharper 2016.2.2.0
resharper-platform 106.0.20160913.100041
selenium-gecko-driver 0.11.1
tortoisegit 2.3.0.0
truecrypt 7.1.20150620
virtualbox 5.1.4.110229
VirtualCloneDrive 5.5.0.20160317
VisualStudioCode 1.6.1
vlc 2.2.4
winmerge 2.14.0
zap 2.5.0
